FeatureType,irradiation,AC_POWER,module_temperature,humidity,tariff_per_kwh,subsidy_percent,installation_cost,maintenance_cost,annual_generation,degradation_rate,payback_period,roi
Residential,-0.79,4.82,-11.43,-3.85,-0.79,8.96,106264.81,-2191.64,-2229.2,0.14,23.53,4.25
Residential,-0.23,-1.27,3.78,-23.3,0.56,8.96,-124441.48,-986.48,-2906.62,0.04,14.37,6.96
Residential,-0.96,0.32,0.37,-2.42,2.28,-1.04,75315.45,567.72,-2894.3,-0.06,18.8,5.32
Residential,-0.61,1.79,-7.13,-29.67,-1.6,-11.04,336860.62,1472.61,2230.39,0.15,18.98,5.27
Residential,-0.3,0.99,9.36,-11.2,0.8,-11.04,-41876.45,1250.69,-884.94,0.09,10.96,9.12
Residential,-0.87,3.73,1.33,26.04,0.14,8.96,318253.11,-616.73,284.12,0.1,17.27,5.79
Residential,0.34,1.23,-4.59,-7.13,-0.07,-11.04,524389.88,1710.87,4741.46,-0.0,13.44,7.44
Residential,1.01,-0.82,-5.93,6.58,0.36,-1.04,-203445.13,-403.79,-190.94,-0.15,6.11,16.38
Residential,-0.98,-4.6,-17.7,12.62,1.62,-11.04,-322656.59,-3318.5,-4651.25,0.14,9.86,10.14
Residential,-0.86,-2.65,-0.14,-22.26,-1.17,8.96,-234716.29,1078.42,-3737.22,0.15,22.73,4.4
Residential,-1.18,-2.86,-19.34,27.52,-1.64,-1.04,-280650.36,-3172.02,-3374.78,0.02,12.33,8.11
Residential,0.78,-0.68,-2.52,-6.58,-1.8,-1.04,-95013.96,2703.22,-447.42,-0.18,15.06,6.64
Residential,0.48,3.02,12.55,-28.14,1.27,-1.04,404516.33,-1630.43,5014.72,0.17,9.2,10.87
Residential,-1.25,0.31,-19.98,-1.75,2.14,8.96,262358.69,353.18,-323.35,0.09,13.83,7.23
Residential,-0.05,-3.14,9.55,20.16,-2.33,8.96,-313506.03,-2758.34,-4182.78,0.04,18.15,5.51
Residential,0.42,-4.94,-0.62,32.09,-2.12,-11.04,-421741.1,1224.68,-5221.52,-0.08,25.0,0.0
Residential,0.46,3.61,-8.13,20.94,-1.6,-1.04,614353.04,4473.98,11246.71,0.17,11.96,8.36
Residential,-0.95,-1.41,1.29,-17.46,1.06,-1.04,-320854.26,-2573.81,-4397.15,0.02,9.81,10.19
Residential,0.37,2.63,8.09,-17.95,0.82,-1.04,379610.78,-1476.95,1984.01,-0.07,13.05,7.66
Residential,-0.86,3.68,1.38,26.28,-2.51,-1.04,-64490.88,849.18,-1118.15,0.18,21.23,4.71
Residential,0.44,0.88,-9.69,24.09,0.81,8.96,242118.02,-291.36,945.99,0.16,12.85,7.78
Residential,-0.34,-1.39,-1.65,33.03,1.33,-11.04,-188745.77,1049.41,-1119.58,0.16,6.95,14.38
Residential,0.12,-4.92,-7.82,26.1,-1.83,-1.04,-405702.96,-3236.42,-5357.76,0.17,18.28,5.47
Residential,-0.61,-2.12,-14.6,-5.49,-2.0,-1.04,-287786.33,3052.82,-2701.55,0.12,15.92,6.28
Residential,1.12,4.14,0.28,15.04,-2.74,-1.04,168276.31,4372.37,391.29,0.12,25.0,3.3
Residential,0.11,-1.57,6.78,31.83,-0.66,-11.04,-176828.89,-1069.38,-1935.88,0.13,11.27,8.87
Residential,0.01,-2.75,-4.14,-29.56,1.17,8.96,-345361.88,-256.03,-2262.11,0.15,3.95,25.29
Residential,0.65,-2.41,8.51,14.52,1.52,-1.04,-291686.55,-756.03,308.02,-0.07,3.17,31.57
Residential,-1.09,3.84,-11.6,-23.37,2.63,8.96,553659.99,-421.86,4502.6,0.09,9.78,10.22
Residential,-1.24,4.06,-19.92,17.21,-0.55,8.96,135514.42,-723.0,1666.58,0.08,12.03,8.31
Residential,0.75,-2.68,16.13,-2.99,-1.88,-1.04,-34924.34,-4166.35,247.97,0.09,12.41,8.06
Residential,0.21,2.75,3.69,26.23,1.05,8.96,-28984.55,-2429.5,-195.42,-0.08,8.83,11.33
Residential,0.72,3.54,8.27,-7.32,1.79,-11.04,493065.25,3805.71,6188.47,0.15,9.06,11.04
Residential,-0.13,1.31,-5.51,-10.45,-0.54,-1.04,435486.51,-3198.94,3866.91,-0.06,13.39,7.47
Residential,-1.25,1.16,-10.25,11.34,0.58,8.96,-65088.61,-1916.2,-2488.57,0.08,14.31,6.99
Residential,-1.03,3.08,1.66,-25.83,-0.46,8.96,205021.81,-4181.57,112.36,-0.04,15.36,6.51
Residential,0.77,-4.05,-4.94,-19.93,-1.19,-1.04,-394117.1,710.55,-4460.68,-0.16,12.3,8.13
Residential,-0.15,-3.58,7.54,-20.9,1.19,8.96,-349781.27,1828.16,-4392.38,-0.02,10.83,9.23
Residential,-0.25,2.4,-1.37,32.53,-1.53,8.96,109006.27,-979.99,2565.98,0.05,12.17,8.22
Residential,0.95,2.76,12.86,25.18,2.54,-11.04,-42640.79,-2912.35,4101.78,0.13,4.17,23.99
Residential,-0.05,3.68,-5.55,-25.64,0.18,-1.04,295772.37,-1841.49,10594.01,0.18,6.17,16.21
Residential,-0.08,-0.86,0.03,-19.29,-1.2,8.96,78406.12,-672.73,-2506.54,0.09,25.0,3.55
Residential,-0.59,4.68,-7.81,20.06,-0.33,8.96,-8391.98,4421.06,1845.17,0.01,9.55,10.47
Residential,0.3,2.7,-4.52,-18.33,-1.89,-1.04,366875.19,3155.44,10390.79,-0.06,10.18,9.82
Residential,0.08,3.21,3.48,-14.08,1.72,8.96,327275.19,17.49,1140.84,-0.05,12.5,8.0
Residential,-0.2,-0.46,-6.66,18.63,1.36,-1.04,-84769.11,-2698.94,-2872.48,0.11,13.25,7.55
Residential,0.86,1.67,3.47,-8.84,0.61,-1.04,-3802.69,-1391.6,-1571.91,-0.03,13.26,7.54
Residential,-1.13,-4.81,-16.34,14.17,-0.39,-1.04,-379860.34,-745.88,-5517.35,0.04,25.0,2.41
Residential,0.87,-3.18,-0.05,-7.61,1.89,-11.04,-195241.43,147.81,-1071.35,0.01,6.11,16.36
Residential,0.97,-1.64,8.43,4.56,-1.97,-1.04,-262945.62,-2140.58,197.24,-0.09,6.4,15.62
Residential,-0.4,1.53,8.07,9.95,-2.18,-11.04,-24060.58,2.55,-986.68,-0.06,19.84,5.04
Residential,-0.38,-0.59,-0.63,-11.02,2.63,-1.04,195836.07,-91.65,396.99,-0.05,10.46,9.56
Residential,-0.32,-3.16,-6.82,-20.78,0.39,-11.04,-346459.59,-590.74,-4355.17,-0.09,10.3,9.71
Residential,-0.82,-0.91,-9.48,15.06,0.38,-11.04,-44738.9,-2902.17,-427.69,0.15,9.6,10.42
Residential,0.74,1.38,6.75,-0.03,-1.28,-1.04,-8506.49,-2865.73,5257.4,-0.01,6.78,14.74
Residential,1.03,-2.54,17.37,-16.41,-0.73,-11.04,-268393.74,-1474.19,-1855.62,-0.18,7.55,13.25
Residential,-0.67,1.61,6.11,15.04,2.37,-11.04,232665.42,-2497.54,-876.75,-0.15,13.53,7.39
Residential,1.07,2.29,-3.39,33.95,2.13,-1.04,435202.2,5268.6,8451.14,0.13,6.93,14.42
Residential,0.82,4.08,6.45,15.45,0.13,-11.04,48845.48,-3900.18,1778.24,-0.03,8.64,11.58
Residential,-0.25,-3.82,-0.13,-2.4,0.41,-1.04,-409891.6,2366.08,-5436.07,0.06,25.0,0.79
Residential,0.62,1.14,-3.46,7.49,1.68,8.96,79099.03,-2163.73,1232.08,-0.05,8.25,12.12
Residential,-1.04,-2.51,-6.12,-2.24,-1.52,-1.04,-364103.1,-3032.35,-4219.08,0.14,9.78,10.22
Residential,0.61,-3.28,0.69,24.36,-1.31,-1.04,-337738.54,1443.85,-5337.5,0.16,25.0,0.0
Residential,-0.06,1.61,-4.14,29.71,1.84,-1.04,40313.72,2223.45,594.98,-0.12,8.86,11.29
Residential,-1.15,0.28,-13.91,0.71,2.05,8.96,-127661.11,746.14,-3525.21,-0.18,15.46,6.47
Residential,0.59,0.02,1.73,-7.49,-2.35,-1.04,-233866.38,-121.4,527.1,0.12,8.07,12.39
Residential,1.03,4.08,0.73,24.48,1.98,-1.04,272329.06,1102.93,7250.01,0.18,6.12,16.35
Residential,1.04,-1.09,9.27,-14.52,0.04,8.96,-46274.28,1356.84,-2737.51,-0.13,20.24,4.94
Residential,-0.19,-0.23,4.29,18.09,-1.72,-11.04,204255.32,2083.8,616.86,-0.15,21.14,4.73
Residential,0.43,0.75,7.08,-9.79,0.69,8.96,98162.17,1592.94,3491.14,-0.02,7.79,12.84
Residential,0.41,-4.82,-4.83,-7.42,1.61,-11.04,-346571.79,2567.14,-4969.7,-0.11,20.33,4.92
Residential,-1.14,4.08,-11.15,18.43,1.5,-11.04,506478.33,3613.31,2907.53,0.08,13.21,7.57
Residential,-1.13,-0.21,-12.44,-23.94,-0.67,-11.04,-32791.91,3533.02,-710.42,-0.05,14.88,6.72
Residential,0.82,3.64,10.35,-3.87,-0.01,-11.04,110761.25,878.94,9534.69,0.17,5.25,19.04
Residential,0.52,-0.59,4.71,-29.63,0.93,-1.04,47837.68,-417.42,1019.12,-0.19,9.07,11.03
Residential,-1.07,2.7,-16.2,34.67,-1.25,-1.04,-74526.75,2061.06,-2010.33,0.03,20.24,4.94
Residential,-0.66,-0.93,-13.59,28.81,-1.1,-1.04,-81765.3,-3514.44,-1945.61,-0.15,14.79,6.76
Residential,0.66,2.0,10.86,25.68,-1.33,-11.04,438580.76,-848.49,8157.74,0.15,11.01,9.08
Residential,1.03,-3.18,6.95,-25.72,0.44,-11.04,-212215.96,-2667.44,-2529.8,-0.18,9.12,10.97
Residential,-0.14,-4.17,4.62,1.3,-1.8,-1.04,-309535.66,-1644.13,-4279.7,0.13,19.38,5.16
Residential,0.9,4.64,5.97,9.63,-0.42,8.96,620042.64,4039.29,7065.41,0.09,13.04,7.67
Residential,1.07,4.04,11.48,-32.25,-1.7,-1.04,477699.61,4427.25,4298.17,0.14,18.9,5.29
Residential,0.83,2.39,-0.66,32.25,1.5,-1.04,-113675.87,2380.42,-789.46,0.02,8.31,12.04
Residential,-0.31,-3.05,3.12,-20.43,2.25,-1.04,-399515.11,143.15,-4650.99,0.18,5.84,17.12
Residential,0.99,-4.5,-3.05,-28.38,0.71,-11.04,-441537.16,211.69,-5037.59,0.16,9.99,10.01
Residential,-0.72,-0.86,-3.33,12.16,0.6,-1.04,85073.05,-1417.99,-1002.95,-0.11,14.03,7.13
Residential,-0.73,-4.8,7.78,20.24,-0.55,-1.04,-409316.97,-3616.05,-5869.0,-0.07,25.0,3.58
Residential,1.01,-2.03,17.76,-21.69,-1.61,-1.04,-215643.42,-3203.55,-3812.88,-0.17,19.65,5.09
Residential,-1.14,0.53,4.32,4.56,-0.77,-1.04,50728.51,3364.36,-3232.99,-0.09,25.0,2.39
Residential,-0.17,-1.16,3.57,15.38,0.96,-1.04,-196958.03,607.85,-859.18,0.03,6.66,15.01
Residential,-1.22,0.03,-10.99,14.9,2.44,-1.04,-104294.43,1075.23,-3214.37,0.04,14.03,7.13
Residential,0.26,-3.89,-0.11,7.02,-1.4,-11.04,-330703.64,-525.18,-3453.83,-0.09,10.65,9.39
Residential,-0.05,0.84,-1.17,5.96,2.07,-1.04,36420.95,-1464.88,790.61,0.02,7.81,12.8
Residential,0.07,2.61,5.65,-0.95,-1.34,-1.04,555316.97,524.19,6880.38,0.18,13.99,7.15
Residential,-0.63,-1.91,0.14,1.05,0.15,-1.04,-178025.16,-2687.35,-3621.64,-0.07,15.46,6.47
Residential,0.4,1.52,2.02,13.7,1.37,-1.04,35869.64,-2129.96,-9.89,0.01,9.49,10.54
Residential,-1.19,-0.86,-4.02,15.76,-1.77,8.96,35531.47,1545.38,-18.93,0.03,17.7,5.65
Residential,1.1,-2.8,13.77,-5.83,-1.66,8.96,-267556.24,-2247.91,-1127.12,-0.03,7.47,13.39
Residential,-0.56,-4.5,-12.62,-7.33,1.4,8.96,-335319.12,464.87,-5198.28,-0.09,23.09,4.33
Residential,0.55,-3.21,0.09,11.67,-1.96,-1.04,-233333.55,1513.23,-2395.73,0.19,16.03,6.24
Residential,0.09,4.58,-7.3,7.27,-1.9,-1.04,11859.29,3917.61,8845.6,-0.18,6.59,15.17
Residential,-0.51,-0.36,-5.28,-19.71,-2.66,-1.04,-140886.74,2553.71,-3464.58,-0.11,25.0,1.73
Residential,-0.13,-1.81,4.97,-14.17,-2.5,8.96,-64401.0,2797.14,-2125.66,0.13,25.0,3.05
Residential,-1.09,-2.35,-15.48,8.76,-1.86,8.96,-114377.5,-3246.4,-1395.86,-0.03,14.03,7.13
Residential,0.76,2.94,14.21,-15.15,-0.1,8.96,249647.77,-807.04,404.38,0.09,15.97,6.26
Residential,-0.42,1.26,-9.46,10.54,-0.76,8.96,317144.31,2653.88,5207.91,0.17,11.53,8.67
Residential,1.09,-1.07,10.24,-18.8,-0.94,8.96,-19917.46,491.78,2234.88,-0.14,9.09,11.0
Residential,0.12,2.33,9.0,30.55,0.61,-1.04,104872.02,-2843.2,2125.89,0.13,8.73,11.45
Residential,1.17,-2.28,3.21,19.17,-2.44,-1.04,-206871.15,-3219.6,-1786.83,0.19,12.89,7.76
Residential,0.51,0.27,7.09,20.9,2.05,-1.04,-135649.71,1867.85,-1061.41,-0.06,7.58,13.2
Residential,0.01,-1.62,4.79,-9.92,-1.32,-1.04,-271798.92,2932.2,-3548.21,0.19,21.6,4.63
Residential,-0.1,0.29,-13.11,2.45,-2.02,-1.04,-23724.53,-1131.24,-1954.11,0.11,22.99,4.35
Residential,1.17,-1.61,-4.51,31.19,2.67,-11.04,-311680.6,-3482.94,-2766.76,-0.12,4.36,22.92
Residential,1.09,-3.28,1.85,-29.68,-0.56,-1.04,-285194.25,1742.66,-3917.65,-0.15,17.95,5.57
Residential,1.07,4.61,1.94,-18.8,0.72,-1.04,368056.22,-1394.73,87.89,0.06,17.12,5.84
Residential,1.24,-4.37,1.15,9.75,1.93,8.96,-333189.32,-1365.79,-3218.56,0.09,5.06,19.77
Residential,-0.78,-3.7,3.99,25.04,0.82,-1.04,-230791.64,1657.79,-3156.59,0.18,11.72,8.53
Residential,-0.99,-4.05,-8.17,-18.54,0.81,-1.04,-364462.39,-2188.53,-4336.58,0.11,7.12,14.05
Residential,-0.57,-3.78,-3.99,-30.28,-0.69,-11.04,-331409.83,-379.53,-4860.66,0.04,23.81,4.2
Residential,1.02,-0.48,4.08,-11.96,2.16,8.96,-195353.45,-4571.5,-2239.13,-0.04,6.84,14.61
Residential,0.9,-4.83,-1.98,2.45,-1.81,-1.04,-475468.18,3.05,-5577.15,-0.01,25.0,0.0
Residential,-0.93,2.62,-3.62,-2.67,2.69,-1.04,163244.92,-1827.22,1173.62,-0.18,8.61,11.62
Residential,-0.45,1.61,6.08,-3.89,1.6,-11.04,29548.53,-1410.39,3612.85,-0.0,5.78,17.3
Residential,-1.13,-2.6,-4.01,27.74,1.91,-1.04,-220759.65,-4257.45,-5077.15,-0.1,20.04,4.99
Residential,0.41,-1.87,-5.48,24.9,0.5,8.96,-262628.51,2969.25,-3777.1,0.17,15.85,6.31
Residential,-1.1,0.46,-7.17,18.48,-2.68,-1.04,55968.92,2434.08,-393.2,0.19,25.0,3.78
Residential,-1.14,0.93,-0.94,-0.85,-0.77,-1.04,195873.78,-101.66,-1267.84,0.15,23.2,4.31
Residential,-0.3,2.32,7.87,-7.98,1.55,8.96,16298.37,1833.7,4182.62,-0.15,5.55,18.03
Residential,0.73,0.99,16.59,-33.58,2.0,8.96,-46979.81,1603.18,-178.3,0.2,8.09,12.36
Residential,-1.15,2.23,-15.13,20.82,-1.1,-1.04,104136.08,-1001.65,-291.25,-0.2,16.95,5.9
Residential,-0.35,-0.88,-9.63,16.45,1.18,8.96,-39179.17,-1389.04,-320.21,-0.09,8.84,11.31
Residential,-1.19,1.76,-12.47,-15.59,-2.14,-1.04,-19037.07,2613.59,-2763.67,0.06,25.0,2.42
Residential,0.36,4.03,6.35,-25.37,-2.7,-11.04,383005.24,2426.75,9860.94,-0.04,12.8,7.81
Residential,0.36,4.74,-0.68,-12.85,-2.15,-1.04,241204.54,578.6,875.68,0.02,22.52,4.44
Residential,-0.85,0.76,-13.47,5.4,-1.34,-1.04,160430.67,1678.49,-469.58,-0.0,22.03,4.54
Residential,-1.13,-0.29,-1.43,32.09,2.43,-1.04,146432.73,-2766.81,-1932.74,0.1,14.58,6.86
Residential,0.03,0.66,9.1,21.26,-1.8,-1.04,-126233.16,1913.09,-1784.54,0.17,18.73,5.34
Residential,0.62,-0.32,12.0,34.27,2.66,-1.04,138608.3,1691.03,2270.63,-0.07,7.54,13.27
Residential,-0.03,-3.45,-0.44,6.98,2.09,8.96,-309150.09,-945.59,-4429.46,-0.01,10.32,9.69
Residential,0.95,4.35,-1.16,-19.36,-1.31,-11.04,175842.02,1283.97,7809.53,0.04,8.21,12.18
Residential,0.17,3.22,5.98,17.27,2.33,-1.04,23328.45,944.43,5279.88,-0.02,4.58,21.82
Residential,0.93,-2.08,12.33,21.36,-1.52,-1.04,-31896.24,-146.69,349.41,-0.08,12.85,7.78
Residential,-1.12,-1.73,3.11,-16.0,2.04,-1.04,-100064.19,-4113.37,-2996.77,-0.11,11.59,8.63
Residential,1.2,2.26,9.83,15.2,0.15,-11.04,94704.24,-985.98,6860.12,-0.1,5.93,16.85
Residential,0.58,-2.06,0.11,-22.48,1.39,-11.04,-261481.17,-1481.79,-1514.87,-0.03,5.21,19.19
Residential,-0.67,1.9,-5.61,-9.11,1.5,-1.04,70713.07,1120.32,-629.55,0.16,11.89,8.41
Residential,-1.07,4.99,0.25,-15.64,-0.85,8.96,274689.72,2468.07,2428.06,0.18,15.06,6.64
Residential,-0.72,-2.5,-14.22,4.6,-1.4,-1.04,-199501.43,-185.96,-1258.56,-0.2,10.57,9.46
Residential,1.03,-0.22,12.01,-27.22,-1.92,-1.04,-201237.12,-2176.24,-1380.82,0.06,11.15,8.97
Residential,-0.34,-1.19,2.59,28.19,-0.89,-11.04,-5514.78,-312.37,-969.93,0.13,15.36,6.51
Residential,0.09,-2.55,-9.65,-32.71,2.72,-1.04,-258487.13,-2154.1,-1906.06,-0.09,4.84,20.65
Residential,-1.1,-1.3,-11.4,6.6,0.76,-1.04,23673.23,75.62,-3204.96,0.11,23.2,4.31
Residential,-0.63,-3.37,7.17,12.56,1.17,8.96,-126239.68,-1188.65,-3145.68,0.15,14.03,7.13
Residential,0.36,1.81,10.33,8.94,0.19,-1.04,69122.2,749.34,-1162.2,0.1,15.9,6.29
Residential,0.97,-0.65,-2.43,-16.33,-0.28,-1.04,-142066.39,1171.66,-995.72,0.1,10.2,9.8
Residential,0.39,-4.36,-2.2,-22.22,1.0,-11.04,-377099.09,-2920.45,-4155.63,0.17,5.89,16.97
Residential,-0.86,2.96,-11.26,11.56,-0.93,-11.04,52631.34,-919.61,-2466.25,-0.12,24.81,4.03
Residential,-0.91,0.21,-5.77,19.74,0.44,-1.04,-76207.39,706.83,-800.53,0.02,10.31,9.7
Residential,1.19,-0.48,14.67,17.31,-1.09,8.96,-10137.77,760.82,2014.35,-0.2,9.88,10.12
Residential,0.24,-1.92,-10.17,32.23,-0.57,-1.04,-299560.79,-4615.95,-3341.4,0.1,8.25,12.12
Residential,-0.63,-3.66,-8.63,-33.56,-0.29,8.96,-295435.2,-1805.28,-4630.61,0.11,18.15,5.51
Residential,-0.1,-1.1,4.53,-23.17,2.05,8.96,-157845.04,2502.7,-2905.52,-0.13,11.92,8.39
Residential,1.2,3.02,1.07,-29.43,-0.3,-11.04,357958.98,2666.93,12959.08,-0.15,6.48,15.44
Residential,-0.23,1.77,7.4,-22.3,1.23,-1.04,169163.4,3332.1,4933.19,-0.05,7.18,13.92
Residential,-0.65,-2.4,6.17,-3.37,1.47,-11.04,-205763.49,1122.21,-3686.79,-0.02,14.25,7.02
Residential,0.67,-3.82,7.2,24.83,-0.52,8.96,-318073.21,168.96,-2141.23,0.13,6.27,15.95
Residential,-0.67,-1.78,-5.57,-15.65,-1.18,8.96,27176.98,1384.63,-1134.46,-0.01,19.23,5.2
Residential,0.76,-4.83,14.38,-31.16,-2.42,-11.04,-399757.42,-1911.81,-4976.24,0.04,24.51,4.08
Residential,0.27,-3.61,8.96,29.49,-2.06,-11.04,-240771.96,2451.68,-3449.61,-0.06,25.0,3.42
Residential,-1.19,-1.24,-12.37,20.71,-0.5,8.96,105734.43,4043.15,280.91,-0.09,15.75,6.35
Residential,-0.75,5.01,-7.19,-14.06,-1.54,8.96,794992.55,1966.22,9497.29,-0.1,15.04,6.65
Residential,1.03,-0.38,10.44,-6.53,2.11,-1.04,-114136.01,-2578.16,-1499.07,0.06,7.94,12.59
Residential,-0.16,0.92,-10.76,26.16,1.0,-1.04,222047.45,-2748.15,5119.59,0.18,7.37,13.57
Residential,1.1,2.81,-2.64,-24.98,2.24,-1.04,83328.25,5386.69,3146.39,-0.13,6.78,14.76
Residential,0.92,-3.82,6.6,23.96,0.46,-1.04,-348903.43,-4225.96,-3993.08,0.01,6.46,15.48
Residential,0.77,-0.5,0.08,-33.66,-0.06,-1.04,-54391.05,-2168.14,-276.35,-0.07,9.91,10.09
Residential,-0.41,1.34,8.68,-32.93,-1.94,-11.04,-22746.95,-1754.73,-2310.99,0.05,24.15,4.14
Residential,0.32,-2.22,-0.96,8.12,1.61,-1.04,-102672.71,-2349.45,-1587.07,-0.18,8.92,11.21
Residential,-0.23,0.12,-3.67,29.21,-0.03,-1.04,-113382.41,1482.25,1072.08,0.04,7.39,13.54
Residential,1.14,2.13,10.84,-23.13,-0.18,-1.04,595468.37,-3071.96,10001.34,-0.02,9.28,10.78
Residential,-0.33,2.47,-12.44,-15.01,0.25,-1.04,153461.85,2161.48,4883.86,0.03,7.96,12.57
Residential,0.75,1.0,9.16,17.05,-2.16,8.96,-54182.0,2844.58,3053.18,-0.06,10.28,9.73
Residential,-0.4,2.35,-0.67,-0.77,-0.79,-1.04,417410.39,2501.06,6215.31,-0.17,11.9,8.4
Residential,-1.04,-1.37,-11.91,26.49,2.7,-1.04,-69922.63,2434.44,-1874.46,-0.0,10.26,9.75
Residential,-0.67,4.55,-1.04,-23.92,1.8,8.96,-67781.7,3173.33,-1835.81,0.19,11.74,8.52
Residential,0.04,1.78,1.27,18.95,-1.28,-1.04,247261.81,2144.58,3466.46,-0.06,13.76,7.27
Residential,0.99,1.1,4.07,-25.2,2.43,8.96,176894.2,-1104.78,4482.89,0.12,6.28,15.93
Residential,-0.62,-3.74,-16.16,34.58,1.42,-1.04,-223275.66,-1334.66,-4314.51,0.08,16.05,6.23
Residential,0.17,-0.18,-7.93,18.92,1.55,-1.04,-654.05,2646.75,44.43,0.11,9.35,10.7
Residential,0.17,-2.38,-7.18,-0.9,-1.71,-11.04,-250776.16,1063.51,-1399.25,0.2,10.01,9.99
Residential,-0.78,4.1,-10.17,13.77,-2.27,8.96,360358.84,-367.01,1368.69,-0.16,24.39,4.1
Residential,0.13,-3.26,1.58,2.16,-1.69,-1.04,-315545.99,-876.26,-3790.81,0.05,14.64,6.83
Residential,0.59,4.54,7.05,-23.57,-1.64,8.96,135273.98,-1864.05,6123.0,0.03,8.97,11.15
Residential,-1.2,4.36,-2.49,-15.3,1.82,-11.04,375651.71,3493.83,-1717.94,-0.2,24.15,4.14
Residential,-0.57,-1.15,-3.25,18.29,1.47,8.96,-12798.63,-3903.21,-40.02,0.06,8.23,12.15
Residential,-0.09,-0.27,9.64,-20.44,2.63,-11.04,-113966.67,2382.45,-1472.0,0.14,8.33,12.01
Residential,-0.42,2.14,-9.19,0.32,-1.22,8.96,85256.84,70.49,3926.34,-0.07,9.63,10.38
Residential,0.72,-4.68,-3.26,-24.83,-1.03,-11.04,-390726.15,-858.61,-5640.94,0.17,25.0,0.77
Residential,-0.7,3.49,-7.24,10.33,-0.28,-1.04,526563.01,2509.18,7726.69,-0.12,10.87,9.2
Residential,0.6,1.06,9.47,-28.8,0.76,-11.04,-205014.14,-844.98,-1220.01,-0.09,6.91,14.48
Residential,-0.66,4.85,-12.46,26.53,-2.51,8.96,306843.65,-512.88,6701.74,-0.09,13.46,7.43
Residential,0.33,-2.28,-0.72,-28.22,-2.35,-1.04,-85103.3,2307.95,-2113.83,0.04,25.0,3.54
Residential,0.19,-4.84,-10.72,27.14,0.19,-1.04,-404250.87,-1140.07,-5433.24,0.13,18.59,5.38
Residential,-0.43,-0.46,-7.1,-33.88,-2.62,-1.04,-227179.72,-2676.71,-2211.37,0.18,14.27,7.01
Residential,0.14,0.46,6.3,-29.7,1.71,8.96,136482.16,-1051.63,3362.13,0.12,7.15,13.99
Residential,1.22,4.01,11.68,-28.13,2.61,-1.04,-69142.5,4597.54,4545.54,-0.16,4.0,24.99
Residential,0.02,1.18,3.34,-28.74,-0.63,-1.04,29729.54,855.12,-455.7,-0.03,14.71,6.8
Residential,-0.91,2.84,2.24,-23.0,0.94,8.96,770976.38,-274.77,5970.71,0.18,12.72,7.86
Residential,0.28,1.51,1.58,-22.36,1.55,-11.04,128455.47,3141.67,1822.42,0.03,9.15,10.93
Residential,1.23,-2.77,1.67,28.16,-2.69,8.96,-376799.57,1902.88,-4581.03,-0.02,25.0,1.22
Residential,0.47,-0.76,5.1,-1.1,-0.74,-1.04,166215.4,-673.58,1378.19,0.05,13.61,7.35
Residential,-0.1,-2.09,7.35,-4.73,-0.18,8.96,-186427.29,-1746.48,1128.91,-0.05,5.57,17.94
Residential,-0.49,3.88,8.27,1.33,0.81,8.96,913551.47,4008.86,4560.4,-0.13,17.24,5.8
Residential,-0.03,-4.7,0.67,4.68,2.59,-1.04,-381319.12,1272.92,-5580.95,-0.01,25.0,3.35
Residential,0.31,-4.9,10.58,0.33,-2.25,-11.04,-425631.82,5.83,-5686.89,0.13,25.0,0.0
Residential,-0.84,-3.27,-13.55,3.67,0.23,-1.04,-248875.51,-3185.35,-2826.36,-0.15,8.6,11.63
Residential,0.06,-4.06,2.99,-9.89,0.53,-1.04,-318715.08,988.74,-4161.54,0.03,12.39,8.07
Residential,-1.19,4.54,-11.73,-20.35,0.98,-1.04,388205.1,-1462.58,5621.07,-0.09,8.9,11.24
Residential,-0.98,3.3,-0.51,-28.0,-1.4,-1.04,74160.14,3616.65,-1247.08,-0.13,25.0,3.99
Residential,0.03,2.79,-9.94,-19.21,2.25,-11.04,58701.49,-1872.05,631.79,-0.05,8.12,12.31
Residential,0.46,-3.01,4.11,-2.97,1.39,-11.04,-173306.71,-1933.28,-3212.29,-0.01,11.63,8.6
Residential,-0.51,0.93,-2.53,-11.94,2.03,-1.04,31177.13,-1152.4,-694.74,-0.18,9.95,10.05
Residential,0.54,-1.17,-4.5,-0.61,0.57,-1.04,-116478.83,1829.64,-1895.73,0.19,12.11,8.26
Residential,0.46,-1.75,4.56,-30.09,2.5,8.96,-212900.42,1381.53,1085.98,0.18,3.76,26.63
Residential,0.47,1.48,-2.06,0.48,-2.53,-1.04,14620.68,-24.01,1485.74,-0.02,15.04,6.65
Residential,1.15,-0.4,10.81,27.3,1.94,-1.04,-135158.43,770.41,2552.14,-0.17,4.29,23.33
Residential,-0.49,-1.53,-5.12,25.18,1.43,-11.04,26868.68,-1514.6,-1173.1,-0.01,11.57,8.64
Residential,-0.43,4.11,-9.55,11.14,-2.51,-11.04,39404.18,2744.45,-479.59,-0.11,25.0,3.97
Residential,-0.72,-4.27,-10.06,-18.16,2.3,-1.04,-436906.41,-4346.57,-5881.57,-0.03,10.21,9.79
Residential,-0.67,3.52,-10.16,7.21,-2.73,-1.04,84935.81,-599.19,-177.91,0.14,23.53,4.25
Residential,-0.42,0.64,6.71,-3.85,1.69,8.96,-33797.44,836.28,-120.47,0.02,8.47,11.81
Residential,0.7,2.24,3.99,15.75,1.53,-1.04,-148061.88,3473.22,1906.71,0.15,4.89,20.47
